symbol,datetime,open,high,low,close,volume
RELIANCE,2026-01-01 12:21:00,1576.6,1577.5,1576,1577.5,9934
RELIANCE,2026-01-01 12:22:00,1577.5,1577.5,1577.1,1577.2,4588
RELIANCE,2026-01-01 12:23:00,1577.5,1577.5,1576.2,1576.7,3552
RELIANCE,2026-01-01 12:24:00,1576.7,1577.3,1576.2,1577.3,5809
RELIANCE,2026-01-01 12:25:00,1577.3,1577.6,1577,1577.6,1474
RELIANCE,2026-01-01 12:26:00,1577.6,1578.1,1577.3,1578.1,11273
RELIANCE,2026-01-01 12:27:00,1578.4,1578.4,1577.7,1578.1,7042
RELIANCE,2026-01-01 12:28:00,1578.2,1578.4,1577.7,1578.3,4312
RELIANCE,2026-01-01 12:29:00,1578,1578.5,1577.7,1577.8,3494
RELIANCE,2026-01-01 12:30:00,1577.9,1578.2,1577.6,1578,3403
RELIANCE,2026-01-01 12:31:00,1578,1578,1577.6,1578,1496
RELIANCE,2026-01-01 12:32:00,1578.5,1578.5,1578,1578,3139
RELIANCE,2026-01-01 12:33:00,1578.5,1578.5,1578.1,1578.2,3852
RELIANCE,2026-01-01 12:34:00,1578.5,1579,1578.2,1578.9,3785
RELIANCE,2026-01-01 12:35:00,1578.8,1579,1577.9,1578,21466
RELIANCE,2026-01-01 12:36:00,1577.8,1578.3,1577.5,1577.5,4209
RELIANCE,2026-01-01 12:37:00,1577.5,1577.8,1577.2,1577.4,33474
RELIANCE,2026-01-01 12:38:00,1577.3,1577.4,1576.2,1576.2,28363
RELIANCE,2026-01-01 12:39:00,1576.3,1576.4,1575.4,1575.8,49327
RELIANCE,2026-01-01 12:40:00,1575.5,1576.6,1575.3,1576.6,42170
RELIANCE,2026-01-01 12:41:00,1576.3,1576.5,1575.5,1575.7,2876
RELIANCE,2026-01-01 12:42:00,1575.8,1576.5,1575.5,1576.5,19399
RELIANCE,2026-01-01 12:43:00,1576.2,1578.1,1576.2,1577.4,36354
RELIANCE,2026-01-01 12:44:00,1577.4,1578.3,1577.1,1578,65915
RELIANCE,2026-01-01 12:45:00,1578,1578.7,1577.3,1577.8,56823
RELIANCE,2026-01-01 12:46:00,1577.8,1578.9,1577.8,1578.9,11877
RELIANCE,2026-01-01 12:47:00,1578.8,1579.9,1578.6,1579.2,30867
RELIANCE,2026-01-01 12:48:00,1579.4,1580.4,1579.4,1580.4,53105
RELIANCE,2026-01-01 12:49:00,1580.4,1580.6,1580,1580,16496
RELIANCE,2026-01-01 12:50:00,1580,1580,1578.7,1579,30791
RELIANCE,2026-01-01 12:51:00,1578.7,1579.4,1578.1,1578.9,29527
RELIANCE,2026-01-01 12:52:00,1578.4,1578.9,1577.4,1578,7680
RELIANCE,2026-01-01 12:53:00,1577.9,1578.4,1577.6,1577.8,3279
RELIANCE,2026-01-01 12:54:00,1577.8,1577.8,1577,1577.3,16568
RELIANCE,2026-01-01 12:55:00,1577.4,1577.6,1576.8,1577.6,5585
RELIANCE,2026-01-01 12:56:00,1577.6,1577.6,1577,1577,7400
RELIANCE,2026-01-01 12:57:00,1577.3,1577.3,1576.8,1576.8,4620
RELIANCE,2026-01-01 12:58:00,1577,1577.5,1576.9,1576.9,5975
RELIANCE,2026-01-01 12:59:00,1577,1577,1575.8,1575.8,9315
RELIANCE,2026-01-01 13:00:00,1576,1576,1575.8,1576,7070
RELIANCE,2026-01-01 13:01:00,1575.9,1576,1575.1,1575.4,29699
RELIANCE,2026-01-01 13:02:00,1575,1575.6,1575,1575.6,12962
RELIANCE,2026-01-01 13:03:00,1575.6,1575.8,1575.3,1575.6,1278
RELIANCE,2026-01-01 13:04:00,1575.6,1576.6,1575.6,1576,9741
RELIANCE,2026-01-01 13:05:00,1576,1576.8,1575.1,1575.6,18198
RELIANCE,2026-01-01 13:06:00,1575.4,1575.8,1575.2,1575.6,5359
RELIANCE,2026-01-01 13:07:00,1575.4,1575.8,1574.8,1574.8,16054
RELIANCE,2026-01-01 13:08:00,1575,1575,1574.7,1575,2833
RELIANCE,2026-01-01 13:09:00,1574.9,1575.8,1574.9,1575.5,3533
RELIANCE,2026-01-01 13:10:00,1575.8,1575.8,1575.3,1575.3,4008
RELIANCE,2026-01-01 13:11:00,1575,1575.3,1575,1575.3,1222
RELIANCE,2026-01-01 13:12:00,1575.3,1575.3,1574.5,1574.7,4495
RELIANCE,2026-01-01 13:13:00,1574.7,1575.2,1574.7,1575,1976
RELIANCE,2026-01-01 13:14:00,1575,1575.2,1574.7,1575.2,2900
RELIANCE,2026-01-01 13:15:00,1575,1575.6,1574.8,1575.6,5469
RELIANCE,2026-01-01 13:16:00,1575.6,1576,1575.3,1575.8,1265
RELIANCE,2026-01-01 13:17:00,1575.6,1576,1575.6,1575.9,2298
RELIANCE,2026-01-01 13:18:00,1575.5,1575.9,1575.3,1575.9,3357
RELIANCE,2026-01-01 13:19:00,1575.8,1576.5,1575,1576.4,14211
RELIANCE,2026-01-01 13:20:00,1576.4,1576.4,1575.3,1575.3,3109
RELIANCE,2026-01-01 13:21:00,1575.1,1575.5,1574.7,1575,2370
RELIANCE,2026-01-01 13:22:00,1574.7,1574.7,1574.1,1574.1,6845
RELIANCE,2026-01-01 13:23:00,1574,1574,1573.1,1573.8,62549
RELIANCE,2026-01-01 13:24:00,1573.7,1574,1573.3,1573.7,102342
RELIANCE,2026-01-01 13:25:00,1573.7,1574.1,1573.5,1573.5,43615
RELIANCE,2026-01-01 13:26:00,1573.5,1574.1,1573,1574.1,44148
RELIANCE,2026-01-01 13:27:00,1574,1575,1574,1574.7,6594
RELIANCE,2026-01-01 13:28:00,1575.1,1575.9,1574.7,1575.9,18040
RELIANCE,2026-01-01 13:29:00,1575.9,1576.1,1575.4,1575.7,107734
RELIANCE,2026-01-01 13:30:00,1575.7,1576.3,1575.3,1576.1,46503
RELIANCE,2026-01-01 13:31:00,1576.4,1576.7,1575.8,1575.9,51175
RELIANCE,2026-01-01 13:32:00,1576.2,1577.2,1575.7,1577.2,27846
RELIANCE,2026-01-01 13:33:00,1577,1577.4,1576.2,1576.2,13943
RELIANCE,2026-01-01 13:34:00,1576.5,1576.9,1576.2,1576.2,1666
RELIANCE,2026-01-01 13:35:00,1576.5,1577.3,1576,1577.3,24826
RELIANCE,2026-01-01 13:36:00,1577,1577.3,1577,1577,2060
